X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
20.236432494005136,67.52318481629676,35.76638450878535,68.45948341411732,74.94651616083884,89.6328514280803,78.27702593820442,116.82792227322452,122.97562126038358,DEB,842.5474409334155
10.551182264861367,57.67565543374033,51.52573252877113,49.891951494972766,113.07429627427234,81.22363805041515,74.53497889480651,92.06375275224482,114.18677918682775,AED,842.138908976995
14.069104813522992,33.115667022092474,60.0145869052021,48.412262739581195,88.81527795453081,128.65160398608668,79.61657193663787,145.23109466961802,122.47361133284605,DAF,820.8047413201475
15.537824080907416,28.032600438756344,68.7970165286453,55.48205756643636,59.26924899766163,103.64428288762502,77.76683114342298,135.17029709477364,145.03786228745417,ACV,962.5658370901389
10.791857533284057,46.42946316300108,48.373435315416145,41.87048737449627,101.30625353114999,119.68429869364597,75.92941018104284,103.40877029635008,140.39289126188453,DAF,758.0520220666059
20.189917630430188,45.54444422332665,60.12120830808712,44.437661073548696,115.57013752954217,107.830083420228,77.87096941554802,97.24546331181217,138.1418496680718,ACV,899.8367026479372
13.826478521144006,24.077630868175635,64.20907897148281,65.83850488533005,120.12296771332645,93.03368035511531,72.74048388613718,80.63826457428496,128.74325373449688,AED,831.678379741461
24.39818767017386,61.77846082501371,41.275113094581684,46.45654501488921,101.14651040532704,116.35383832015069,79.6367087284497,93.54723473790597,118.9327432919602,ACV,883.0640190711518
27.89431724392347,41.13584534727187,53.58008248336192,40.7347203248009,103.87679097223511,124.33620337436757,78.2682532955672,159.69682400389522,129.6213228312314,DAF,841.8630271768276
14.911045344863552,58.42584994481272,38.46698970430042,64.93824503993383,55.01743380566146,117.78414693754891,71.64507266474101,113.76322968469776,109.00428999341786,AED,809.5075225456362
23.826740705554826,28.928593908718597,45.85024648867946,40.17473785323943,70.99957702000812,89.48321699602687,71.05921236707324,136.98439514329021,112.82545619319194,DEB,793.2875264428828
24.505878761524777,52.69330055341972,47.249069951096246,66.01961516926598,100.57080940001336,116.71920464744093,73.41794723940113,128.93023607016102,101.7778131068852,DAF,688.3862140795177
29.92282380237256,32.160773215316354,40.27469868908411,42.19570217172898,70.62424951973892,113.41899727808372,76.97893570683081,91.58058910854525,112.57431008568565,ACV,830.3579024929666
18.418427892349257,53.24921231809804,48.237158521749954,57.59554980476594,117.17476828871538,110.85315272186594,73.65007263508559,120.3556678410036,112.0619741814004,AED,830.6115325933763
12.194693280133935,30.16207720436983,41.352259557765244,49.42401686806907,75.04382870559502,100.36898013770664,79.71689975619755,149.71977214313588,137.46803689036832,QWE,1048.4997177365804
